wkt_geom	typ_budynku
MultiPolygon (((204435.33999999985098839 628091.05000000074505806, 204433.45000000018626451 628080.80000000074505806, 204431.87000000011175871 628081.06000000052154064, 204431.25 628077.74000000022351742, 204432.83000000007450581 628077.49000000022351742, 204432.54999999981373549 628076.01999999955296516, 204426.75999999977648258 628076.93999999947845936, 204427.01999999955296516 628078.55000000074505806, 204419.62000000011175871 628079.59999999962747097, 204419.07000000029802322 628085.35999999940395355, 204419.04999999981373549 628085.47000000067055225, 204418.13999999966472387 628092.16999999992549419, 204417.36000000033527613 628097.91999999992549419, 204427.59999999962747097 628099.21000000089406967, 204427.83999999985098839 628097.55000000074505806, 204433.70000000018626451 628091.33999999985098839, 204435.33999999985098839 628091.05000000074505806)))	biura i usługi
MultiPolygon (((204562.58999999985098839 628208.99000000022351742, 204577.76999999955296516 628198.73000000044703484, 204570.32000000029802322 628187.85999999940395355, 204571.91000000014901161 628186.69999999925494194, 204568.45000000018626451 628181.75, 204561.23000000044703484 628186.58999999985098839, 204561.34999999962747097 628186.75999999977648258, 204557.62999999988824129 628189.43999999947845936, 204557.42999999970197678 628189.24000000022351742, 204550.42999999970197678 628194.03999999910593033, 204553.83000000007450581 628199.01999999955296516, 204555.13999999966472387 628198.08999999985098839, 204562.58999999985098839 628208.99000000022351742)))	biura i usługi
MultiPolygon (((204501.42999999970197678 627778.11999999918043613, 204505 627771.94999999925494194, 204501.70000000018626451 627770.02999999932944775, 204490.01999999955296516 627763.24000000022351742, 204481.0400000000372529 627778.80000000074505806, 204495.08000000007450581 627786.57000000029802322, 204496.82000000029802322 627783.58000000007450581, 204496.24000000022351742 627783.23000000044703484, 204496.57000000029802322 627782.60999999940395355, 204497.16000000014901161 627782.97000000067055225, 204497.82000000029802322 627781.82000000029802322, 204497.16000000014901161 627781.51999999955296516, 204498.66999999992549419 627778.88000000081956387, 204501.42999999970197678 627778.11999999918043613)))	biura i usługi
MultiPolygon (((204343.33999999985098839 627794.05000000074505806, 204339.08999999985098839 627790.66999999992549419, 204339.62000000011175871 627789.76999999955296516, 204339.49000000022351742 627789.03999999910593033, 204337.83999999985098839 627787.77999999932944775, 204336.84999999962747097 627787.85999999940395355, 204336.37000000011175871 627788.30000000074505806, 204336.12000000011175871 627788.07000000029802322, 204335.87000000011175871 627788.33000000007450581, 204331.24000000022351742 627784.64000000059604645, 204331.2900000000372529 627783.25999999977648258, 204333.12000000011175871 627783.18999999947845936, 204338.12999999988824129 627777.03999999910593033, 204334.98000000044703484 627772.18999999947845936, 204328.26999999955296516 627780.73000000044703484, 204319.7900000000372529 627791.49000000022351742, 204342.63999999966472387 627809.09999999962747097, 204342.63999999966472387 627809.28999999910593033, 204345.26999999955296516 627809.27999999932944775, 204345.30999999959021807 627808.97000000067055225, 204347.90000000037252903 627806.76999999955296516, 204348.03000000026077032 627806.91000000014901161, 204351.62999999988824129 627803.71000000089406967, 204351.49000000022351742 627803.53999999910593033, 204354.67999999970197678 627800.89000000059604645, 204347.37000000011175871 627790.71000000089406967, 204343.33999999985098839 627794.05000000074505806)))	biura i usługi
MultiPolygon (((204061.90000000037252903 627646.38000000081956387, 204064.88999999966472387 627647.57000000029802322, 204067.70000000018626451 627640.41000000014901161, 204057.7900000000372529 627636.48000000044703484, 204052.42999999970197678 627634.43999999947845936, 204051.7900000000372529 627634.72000000067055225, 204046.7099999999627471 627648.14000000059604645, 204047 627648.81000000052154064, 204053.36000000033527613 627651.16999999992549419, 204059.37999999988824129 627653.28999999910593033, 204061.90000000037252903 627646.38000000081956387)))	biura i usługi
MultiPolygon (((204727.15000000037252903 627643.65000000037252903, 204721.62999999988824129 627645.67999999970197678, 204722.44000000040978193 627648.19999999925494194, 204710.59999999962747097 627652.39000000059604645, 204709.75 627649.88000000081956387, 204701.03000000026077032 627653, 204703.71999999973922968 627660.52999999932944775, 204705.09999999962747097 627664.36999999918043613, 204710.90000000037252903 627662.36999999918043613, 204711.07000000029802322 627662.76999999955296516, 204713.83999999985098839 627661.78999999910593033, 204713.73000000044703484 627661.49000000022351742, 204725.19000000040978193 627657.50999999977648258, 204731.13999999966472387 627655.44999999925494194, 204727.15000000037252903 627643.65000000037252903)))	szpital
MultiPolygon (((204725.7900000000372529 627659.77999999932944775, 204732 627680.5, 204738.16999999992549419 627678.24000000022351742, 204732.07000000029802322 627657.91999999992549419, 204731.13999999966472387 627655.44999999925494194, 204725.19000000040978193 627657.50999999977648258, 204725.7900000000372529 627659.77999999932944775)))	biura i usługi
MultiPolygon (((204741.49000000022351742 627659.51999999955296516, 204751.5 627656.21000000089406967, 204745.13999999966472387 627637.46000000089406967, 204737.41000000014901161 627640.08000000007450581, 204737.32000000029802322 627640.27999999932944775, 204733.2900000000372529 627641.65000000037252903, 204728.32000000029802322 627643.33999999985098839, 204734.53000000026077032 627661.69999999925494194, 204739.50999999977648258 627660.01999999955296516, 204741.44000000040978193 627659.36999999918043613, 204741.49000000022351742 627659.51999999955296516)))	biura i usługi
MultiPolygon (((204290.33999999985098839 628010.86999999918043613, 204292.99000000022351742 628005.88000000081956387, 204280.5 627998.91000000014901161, 204274.2900000000372529 628010.26999999955296516, 204273.29999999981373549 628012.09999999962747097, 204272.07000000029802322 628014.33999999985098839, 204271.37000000011175871 628013.91000000014901161, 204269.59999999962747097 628017.06000000052154064, 204270.26999999955296516 628017.47000000067055225, 204269.15000000037252903 628019.44999999925494194, 204273.78000000026077032 628021.98000000044703484, 204265.13999999966472387 628037.92999999970197678, 204263.74000000022351742 628037.13000000081956387, 204262.24000000022351742 628037.27999999932944775, 204262.24000000022351742 628037.15000000037252903, 204261.2900000000372529 628036.34999999962747097, 204258.08000000007450581 628036.64000000059604645, 204257.32000000029802322 628037.46000000089406967, 204257.38999999966472387 628037.97000000067055225, 204255.9599999999627471 628038.14000000059604645, 204254.67999999970197678 628039.24000000022351742, 204246.98000000044703484 628031.36999999918043613, 204240.62999999988824129 628037.60999999940395355, 204256.91000000014901161 628054, 204257.25 628054.52999999932944775, 204259.95000000018626451 628054.09999999962747097, 204259.99000000022351742 628054.49000000022351742, 204264.36000000033527613 628053.92999999970197678, 204264.2900000000372529 628053.55000000074505806, 204267.07000000029802322 628053.18999999947845936, 204267.01999999955296516 628052.77999999932944775, 204268.90000000037252903 628052.72000000067055225, 204269.90000000037252903 628051.56000000052154064, 204269.53000000026077032 628049.50999999977648258, 204269.24000000022351742 628049.18999999947845936, 204269.63999999966472387 628048.18999999947845936, 204287.30999999959021807 628016.97000000067055225, 204289.15000000037252903 628017.97000000067055225, 204292.42999999970197678 628012.05000000074505806, 204290.33999999985098839 628010.86999999918043613)))	biura i usługi
MultiPolygon (((204126.58000000007450581 628098.58000000007450581, 204129.20000000018626451 628095.72000000067055225, 204125.75999999977648258 628092.46000000089406967, 204123.32000000029802322 628090.97000000067055225, 204119.5 628097.35999999940395355, 204118.2900000000372529 628099.36999999918043613, 204123.94000000040978193 628102.91000000014901161, 204126.58000000007450581 628098.58000000007450581)))	przemysłowe
