x,y,z
200707.50,629969.50,27.58
200706.50,629968.50,27.54
200707.50,629968.50,27.62
200706.50,629967.50,27.61
200707.50,629967.50,27.54
200708.50,629967.50,27.70
200709.50,629967.50,27.63
200708.50,629966.50,27.65
200709.50,629966.50,27.54
200710.50,629966.50,27.75
200706.50,629965.50,27.59
200707.50,629965.50,27.69
200710.50,629965.50,27.72
200706.50,629964.50,27.64
200709.50,629964.50,27.79
200710.50,629964.50,27.78
200711.50,629964.50,27.64
200713.50,629964.50,27.78
200713.50,629959.50,28.56
200716.50,629959.50,28.78
200705.50,629958.50,29.03
200706.50,629958.50,28.63
200707.50,629958.50,28.34
200708.50,629958.50,28.23
200709.50,629958.50,29.10
200711.50,629958.50,28.35
200713.50,629958.50,28.35
200717.50,629958.50,28.51
200701.50,629957.50,27.71
200705.50,629957.50,28.35
200710.50,629957.50,28.58
200695.50,629956.50,30.37
200697.50,629956.50,31.04
200698.50,629956.50,28.08
200700.50,629956.50,29.17
200701.50,629956.50,27.83
200693.50,629955.50,28.32
200694.50,629955.50,29.81
200695.50,629955.50,29.94
200696.50,629955.50,29.57
200694.50,629954.50,28.40
200703.50,629942.50,39.52
200707.50,629942.50,39.05
200707.50,629941.50,39.65
200708.50,629941.50,39.75
200709.50,629941.50,39.83
200718.50,629941.50,38.12
200697.50,629940.50,39.15
200700.50,629940.50,39.51
200708.50,629940.50,39.42
200716.50,629940.50,39.45
200717.50,629940.50,38.39
200718.50,629940.50,38.43
200721.50,629940.50,28.77
200697.50,629939.50,38.69
200700.50,629939.50,38.76
200704.50,629939.50,40.29
200706.50,629939.50,39.36
200715.50,629939.50,37.46
200716.50,629939.50,30.68
200717.50,629939.50,36.99
200718.50,629939.50,28.99
200719.50,629939.50,28.74
200721.50,629939.50,28.79
200722.50,629939.50,28.86
200730.50,629939.50,29.29
200694.50,629938.50,40.04
200699.50,629938.50,38.27
200700.50,629938.50,38.01
200704.50,629938.50,40.51
200705.50,629938.50,39.22
200715.50,629938.50,28.51
200716.50,629938.50,32.12
200717.50,629938.50,33.30
200718.50,629938.50,28.80
200719.50,629938.50,28.87
200720.50,629938.50,28.86
200721.50,629938.50,28.79
200722.50,629938.50,28.89
200687.50,629937.50,28.07
200694.50,629937.50,39.00
200697.50,629937.50,28.68
200698.50,629937.50,32.29
200699.50,629937.50,37.18
200700.50,629937.50,28.89
200701.50,629937.50,38.33
200702.50,629937.50,39.27
200705.50,629937.50,29.12
200706.50,629937.50,37.63
200709.50,629937.50,29.46
200714.50,629937.50,29.37
200715.50,629937.50,28.54
200716.50,629937.50,36.83
200717.50,629937.50,28.98
200718.50,629937.50,28.93
200719.50,629937.50,28.98
200720.50,629937.50,28.94
200721.50,629937.50,28.96
200724.50,629937.50,29.15
200727.50,629937.50,29.40
200728.50,629937.50,29.47
200685.50,629936.50,28.22
200688.50,629936.50,33.43
200695.50,629936.50,36.81
200696.50,629936.50,36.55
200697.50,629936.50,36.82
200698.50,629936.50,29.01
200699.50,629936.50,30.79
200700.50,629936.50,28.84
200701.50,629936.50,28.88
200702.50,629936.50,28.83
200703.50,629936.50,29.17
200704.50,629936.50,30.08
200705.50,629936.50,28.81
200706.50,629936.50,29.82
200707.50,629936.50,29.61
200708.50,629936.50,29.18
200710.50,629936.50,29.44
200712.50,629936.50,29.54
200715.50,629936.50,29.03
200718.50,629936.50,29.08
200719.50,629936.50,29.00
200720.50,629936.50,28.95
200721.50,629936.50,28.99
200722.50,629936.50,29.18
200723.50,629936.50,33.63
200724.50,629936.50,29.25
200725.50,629936.50,29.25
200727.50,629936.50,29.29
200728.50,629936.50,29.35
200684.50,629935.50,28.30
200698.50,629935.50,35.85
200700.50,629935.50,36.27
200702.50,629935.50,34.82
200704.50,629935.50,36.59
200705.50,629935.50,34.46
200706.50,629935.50,34.50
200707.50,629935.50,34.78
200708.50,629935.50,29.39
200709.50,629935.50,28.80
200710.50,629935.50,29.20
200711.50,629935.50,29.61
200712.50,629935.50,28.76
200713.50,629935.50,29.15
200717.50,629935.50,29.07
200719.50,629935.50,29.23
200720.50,629935.50,29.18
200721.50,629935.50,29.08
200722.50,629935.50,29.13
200723.50,629935.50,29.14
200724.50,629935.50,29.48
200725.50,629935.50,29.15
200726.50,629935.50,29.24
200727.50,629935.50,29.35
200728.50,629935.50,29.30
200731.50,629935.50,32.97
200683.50,629934.50,28.25
200684.50,629934.50,28.19
200703.50,629934.50,34.57
200704.50,629934.50,34.33
200705.50,629934.50,28.87
200706.50,629934.50,28.90
200707.50,629934.50,28.90
200708.50,629934.50,28.83
200709.50,629934.50,29.11
200710.50,629934.50,29.45
200711.50,629934.50,29.28
200716.50,629934.50,29.14
200717.50,629934.50,29.13
200718.50,629934.50,29.10
200719.50,629934.50,29.17
200720.50,629934.50,29.07
200721.50,629934.50,29.17
200722.50,629934.50,29.07
200723.50,629934.50,29.22
200724.50,629934.50,29.22
200725.50,629934.50,29.10
200726.50,629934.50,29.33
200727.50,629934.50,29.48
200730.50,629934.50,32.56
200684.50,629933.50,28.21
200685.50,629933.50,28.30
200706.50,629933.50,28.77
200707.50,629933.50,29.03
200708.50,629933.50,29.10
200709.50,629933.50,29.85
200710.50,629933.50,29.40
200711.50,629933.50,29.49
200712.50,629933.50,29.64
200713.50,629933.50,31.73
200718.50,629933.50,29.35
200720.50,629933.50,29.16
200721.50,629933.50,29.14
200722.50,629933.50,29.19
200723.50,629933.50,29.22
200724.50,629933.50,29.24
200725.50,629933.50,29.22
200726.50,629933.50,29.31
200727.50,629933.50,29.43
200728.50,629933.50,29.43
200683.50,629932.50,28.16
200684.50,629932.50,28.20
200685.50,629932.50,28.25
200686.50,629932.50,28.27
200687.50,629932.50,28.35
200701.50,629932.50,27.20
200705.50,629932.50,28.67
200706.50,629932.50,29.17
200707.50,629932.50,29.36
200710.50,629932.50,29.60
200711.50,629932.50,37.86
200712.50,629932.50,29.52
200713.50,629932.50,29.49
200714.50,629932.50,30.13
200715.50,629932.50,31.65
200722.50,629932.50,29.21
200723.50,629932.50,29.20
200724.50,629932.50,29.20
200725.50,629932.50,29.24
200726.50,629932.50,29.19
200727.50,629932.50,29.25
